count,mode,median_ms,min_ms,max_ms,runs
100,direct,0.088183,0.045349,0.173111,7
100,generated_sequence,0.031347,0.031277,0.031587,7
100,indirect,0.033841,0.033591,0.035654,7
100,work_graph,0.031297,0.031187,0.111398,7
1000,direct,0.383327,0.355425,1.330720,7
1000,generated_sequence,0.347003,0.337468,0.458360,7
1000,indirect,0.356207,0.353342,0.377668,7
1000,work_graph,0.316406,0.312831,0.443278,7
5000,direct,1.953790,1.878250,3.217640,7
5000,generated_sequence,1.890270,1.835460,2.038740,7
5000,indirect,2.044830,1.897790,2.348340,7
5000,work_graph,1.966190,1.838490,2.394560,7
